Document_ID,Subset_Origin,Date,Official_Party,True_Label_y,Predicted_Label_y_hat,Margin_Status,LOF_Score,Test_Set_Rank,Test_Set_Percentile,OOV_Rate,Diagnostic_Heuristic,Snippet_Processed
EL194_L_1993_03_067_04_2_PF_02,TOP 10 STATISTICAL OUTLIERS,1993-03-28,Front national;Cercle national des femmes d'Europe;Fraternité française;Association pour le développement de la démocratie directe;Comité pour l'Europe des Patries,FAR_RIGHT_FN,FAR_RIGHT_FN,CORRECT,4.4272,15,1.0054,0.216,Topological isolation driven by OCR degradation.,legislative alsace enfant ordre merite marilene enfant cercle femme europe departement alsace recevoir soutien cercle femme europe cercle combattant association pauvrete fraternite association developpement democratie comite europe patrie voton vrai changement compatriote rejeter politique desastreux socialiste chomage pauvrete insecurite immigration ne_oublier rpr responsable contamination mortel transfuse hemophile responsable coupable socialiste beneficier soutien rpr udf mise accusation immi...
EL189_L_1993_03_004_01_1_PF_05,TOP 10 STATISTICAL OUTLIERS,1993-03-21,Front national,FAR_RIGHT_FN,FAR_RIGHT_FN,CORRECT,4.3691,16,1.0724,0.0721,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative alpe haute opposition falque bezaure naitre famille etablir marier famille ingenieur agricole chevalier ordre reprendre exploitation agricole familial sauvan ethnologue passionner histoire ecologie recherche historique amener etudier quotidien region ancetre monographie ancien capitale fabrique faience votez falque bezaure retraite brgm enfant ami legislatif ecoute suggestion doleance compte rejoindre participer renaissance opposition compter assister depot bilan catastrophique respo...
EL189_L_1993_03_013_01_2_PF_01,TOP 10 STATISTICAL OUTLIERS,1993-03-28,Union pour la démocratie française;Rassemblement pour la République,RIGHT_UPF,RIGHT_UPF,CORRECT,4.2728,17,1.1394,0.0102,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,union udf rpr dernier prononcer changement remercier confiance temoigner fatalite reconstruction pays montrer determination prendre avenir prochain franchir dernier separer renouveau prochain donner majorite constituer femme changer dur travail majorite volonte hauteur defi engager livrer gouverner pays emploi arriver tete preoccupation conclusion pacte emploi engagement politique faveur pme pmi prise mesure urgence logement batiment travail public maitrise deficit budgetaire mise gestion public...
EL193_L_1993_03_059_08_1_PF_01,TOP 10 STATISTICAL OUTLIERS,1993-03-21,Front national,FAR_RIGHT_FN,FAR_RIGHT_FN,CORRECT,3.83,18,1.2064,0.1494,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative sincerite jeunesse dernier rpr laisser situation degrader dramatique inacceptable ne_eviter chomage insecurite immigrationinvasion pays inquietude permanent lendemain vrai changement lutte immigration insecurite chomage corruption patriote independant valoriser defendre famille education battre sauver securite social garantir retraite reserver allocation familial famille combattre exces fiscal remettre ordre affaire directeur societe defendre gendron fnpoliticien corrompu scandale mi...
EL176_L_1988_06_059_02_2_PF_02,TOP 10 STATISTICAL OUTLIERS,1988-06-12,Rassemblement pour la République;Union pour la démocratie française,RIGHT_URC,RIGHT_URC,CORRECT,3.8252,19,1.2735,0.1049,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative union rassemblement centre urc naitre veuf enfant amener responsable eleve participe filleul association lycee technique fils artisan restauration demeure ancien president union commercial retureau naitre habiter metropole enfant enfant ingenieur commercial hec licencier droit docteur science eco retraiter occuper direction entreprise conseiller municipal opposition equipe competent experimentee service udf rpr union rassemblement centre developpement hellemme humain forte solidaire ...
EL175_L_1988_06_031_04_1_PF_02,TOP 10 STATISTICAL OUTLIERS,1988-06-05,Parti communiste français,LEFT_PCF,LEFT_PCF,CORRECT,3.7822,20,1.3405,0.0217,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,rassemblement gauche piquet responsable pcf parlement europeen parti communiste francaiselectrice connaitre ne_cache conviction departement europeen travailler exclusif progres vivre aeronautique defendre delegation cee usa interet travailleur industrie face volonte domination presidentiel choisir part appeler communiste conjurer danger droite preserver possibilite union ne_vivre travail reelection emprunter preoccupant dissolution elire majorite composer socialiste droite gouverner ne_politique...
EL177_L_1988_06_088_03_1_PF_03,TOP 10 STATISTICAL OUTLIERS,1988-06-05,Parti communiste français,LEFT_PCF,LEFT_PCF,CORRECT,3.7567,21,1.4075,0.0064,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,vosge employe commerce marier enfant conseiller municipal rassemblement gauche presenter parti communiste comite economiqu social conseiller municipal gauche elire empecher droite emparer appel parti communiste choix peser lourd politique venir realiser emploi justice social liberte democratique paix condamner politique droite demagogie honteux raciste donner maximum efficacite remercier choix courageux confirmer rassembler candidature enjeu demande aider aider communiste renforcer rassemblement...
EL197_L_1993_03_089_03_2_PF_02,TOP 10 STATISTICAL OUTLIERS,1993-03-28,Front national,FAR_RIGHT_FN,FAR_RIGHT_FN,CORRECT,3.7498,22,1.4745,0.0372,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative votez pierr peres conseiller regional retraite marier enfant participer liberation prise licencie droit faculte creer developper entreprise personne charger mission gestion membre comite central maitre panse notaire president compatriote nombre important accorder amplifier prochain poser tete populaire considerer rpr ne_changer elire municipal assister dechirement rpr opposer rpr rappeler venue ami venir dizaine personne figurant decrire merveille maastricht agriculteur salarie explo...
EL174_L_1988_06_013_04_1_PF_01,TOP 10 STATISTICAL OUTLIERS,1988-06-05,Parti communiste français,LEFT_PCF,LEFT_PCF,CORRECT,3.7176,23,1.5416,0.0282,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,rassemblement gauche presenter parti communiste presidentiel large majorite droite exprimer gauche appeler confirmer choix apporter quatrieme communiste droite representer gauche effort deployer service defense interet populaire besoin entendre poursuivre compter battre droite appeler barrer route pen candidature rassembler battre representant droite reculer idee haine racisme intolerance compter travailler relache rassemblement gauche presidentiel confirmer alliance parti socialiste partie droi...
EL191_L_1993_03_034_06_1_PF_05,TOP 10 STATISTICAL OUTLIERS,1993-03-21,Union pour la démocratie française;Centre national des indépendants,RIGHT_UDF,RIGHT_UDF,CORRECT,3.6941,24,1.6086,0.0296,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative opposition union udf cni conseil regional conseiller general conseiller municipal professeur universite iii caisse allocation familial administrateur fin gachis socialiste engager politique lendemain ne_accepter socialiste allie communiste fin gachis socialiste fin spirale chomage immigration insecurite croissant dysfonctionnement systeme educatif assumer mission faiblesse protection personne defense identite allegement excessif peser entreprise defense agriculture monde rural mot re...
EL190_L_1993_03_028_02_1_PF_01,TOP 10 STATISTICAL OUTLIERS,1993-03-21,Front national,FAR_RIGHT_FN,FAR_RIGHT_FN,CORRECT,3.6933,25,1.6756,0.0419,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislatif presenter independant club opposition elire accomplir decevoir mission confier figurer actif defendre relache terroir attacher ne_presente voix ne_entendre pays constater grand pauvrete argument utiliser adversaire diriger attaque ne_proposer solution escamoter probleme victime ravage insecurite immigration chomage meilleur ne_regler probleme pays menacer existence prosperite liberte ratification traite defendre coupe regler technocrate socialiste promettre resultat resultat appel ass...
EL195_L_1993_03_075_04_1_PF_03,TOP 10 STATISTICAL OUTLIERS,1993-03-21,Parti communiste français,LEFT_PCF,LEFT_PCF,CORRECT,3.6772,26,1.7426,0.0558,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative lefort comptable edf bilan economique social actuel ne_politique gauche big bang enterrer ecologiste beneficier enorme promotion mediatique label reculer pretention droite present interroger entendre raison mecontentement inquietude evident bilan economique social actuel ne_politique gauche echec venir contraire tourner ne_droite assortir programme annoncer couleur decider imposer decombre actuel veritable regression social privatisation secteur public telecommunication edf transport...
EL134_L_1981_06_002_02_1_PF_02,TOP 10 STATISTICAL OUTLIERS,1981-06-14,Union pour la démocratie française,RIGHT_UDF,RIGHT_UDF,CORRECT,3.6315,27,1.8097,0.08,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative ami defense valeur moral spirituel programme socialo communiste etatisation controle achat vente agricole liberte entreprendre enseignement developpement medecine integree choix medecin ne_emploi securite liberte nationalisation industrie secteur bancaire assurance votez ne_pays monde socialisme synonyme liberte commercer ami per enfant veterinaire jouer olympique remporter challenge football entrer terrain football gagner politique gagner intime conviction executif representer ne_ve...
EL174_L_1988_06_001_03_1_PF_02,TOP 10 STATISTICAL OUTLIERS,1988-06-05,Union pour la démocratie française;Rassemblement pour la République,RIGHT_URC,RIGHT_URC,CORRECT,3.6281,28,1.8767,0.0216,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative union rassemblement centre union udf rpr compatriote representer defendre promouvoir societe liberte responsabilite justice participer conviction necessaire redressement pays appuyer initiative prendre chomage assurer securite citoyen reculer injustice social engagement continuer assurer permanence principal effectuer intervention demande collectivite dernier choisir reconduire fonction decider dissolution solliciter eviter pays ne_retomber exces ideologique dominer parti parti socia...
EL177_L_1988_06_094_11_2_PF_02,TOP 10 STATISTICAL OUTLIERS,1988-06-12,Centre national des indépendants et paysans;Rassemblement pour la République;Union pour la démocratie française,RIGHT_URC,RIGHT_URC,CORRECT,3.575,29,1.9437,0.0326,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative idee juste defendre legislative union rassemblement centre dubreuil idee justes defendon dubreuil conseiller rpr udf cnimadame accorder confiance parti communiste ne_present second union progres battre abstenir communiste appeler republicain progres rejoindre obstacle clivage politique representer gauche doctrinaire depasser temoigner confiance avenir choisissez parti tolerance union engager elu attentif preoccupation ecoute choisir veritable ouverture dubreuil recu soutien president...
EL190_L_1993_03_024_01_1_PF_07,TOP 10 STATISTICAL OUTLIERS,1993-03-21,Front national,FAR_RIGHT_FN,FAR_RIGHT_FN,CORRECT,3.5609,30,2.0107,0.04,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative pen votez artiste perigourdin membre fondation assener verite agreable entendre fait donner raison departement autoroute prefererer action conjugue syndicalisme inconscient naivete elu conduire fermeture emploi etude commission subventionner ne_aboutir incinerateur situer ouest aberration profiter scandaleux rire clore chomage ruine agriculture kilogramme acheter timbre post ami ultime recours million chomeur million delit crime million immigres seropositif ecologistes attention dang...
EL177_L_1988_06_093_13_2_PF_02,TOP 10 STATISTICAL OUTLIERS,1988-06-12,Centre national des indépendants et paysans;Rassemblement pour la République;Union pour la démocratie française,RIGHT_URC,RIGHT_URC,CORRECT,3.552,31,2.0777,0.0467,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,science cevipov legislative charger emploi conseiller general union rassemblement centre rpr udf cevipov elire choisissez defendre presence actif frequent ecouter probleme recevoir courrier terrain service intervenir ecrire telephoner deplacer obtenir gain attentif demande compte choix politique prouver gerer dialogue parole cœur chose insupportable injustice frappe demunir victime violence malhonnetete mensonge intolerance utiliser injure arme politique choisir capable presenter bilan programme...
EL190_L_1993_03_017_01_1_PF_10,TOP 10 STATISTICAL OUTLIERS,1993-03-21,Front national,FAR_RIGHT_FN,FAR_RIGHT_FN,CORRECT,3.5464,32,2.1448,0.0067,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative votez catalan enfant retraite chevalier legion honneur officier ordre merite guerre toe professeur compatriote chomage insecurite immigration pauvrete impot affaire constater constat dramatique reel inquiet responsable etat politicien gauche droite reveler incapable gouverner pays raison avenir apparaitre angoissant politique ne_fatalite prendre destin retrouver grandeur justice honnetete education fraternite mot reel valeur entendre voix verite invite renaissance catalan socialisme ...
EL197_L_1993_03_083_03_1_PF_02,TOP 10 STATISTICAL OUTLIERS,1993-03-21,Front national,FAR_RIGHT_FN,FAR_RIGHT_FN,CORRECT,3.5336,33,2.2118,0.0754,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative troisieme pen presenter tete haute joris sultaner conseiller gerardin conseiller regional compatriote service porter arme defendre attaquer nazisme maquis communisme indochine socialiste porteur valise fln venir disposition combattre agression victime part mourir conscience chomage augmenter pauvrete famille immigration incontrole amplifier delinquance ruine securite social prelevement obligatoire poursuivre fou sentir peau affaire succeder affaire inculpation pays ne_etat pourrissem...
EL174_L_1988_06_013_04_2_PF_02,TOP 10 STATISTICAL OUTLIERS,1988-06-12,Front national,FAR_RIGHT_FN,FAR_RIGHT_FN,CORRECT,3.5304,34,2.2788,0.0672,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,union nationale agent conseiller regional membre bureau conseil regional remplacer eventuel dockervoter union nationale gauche minoritaire mode injuste parti unique majorite absolu mener action compromission face parti ouverture ne_mythe ouverture pratiquer ouverture prochain cellule prison millier delinquant ouverture frontiere immigre tiers mond ouverture droit immigre renouveau unir difference sensibilite parti communiste allie lobby passer union yvan rpr reclamer rapprochement rpr ne_differe...
EL137_L_1981_06_081_01_1_PF_02,TOP 10 STATISTICAL OUTLIERS,1981-06-14,Parti communiste français,LEFT_PCF,LEFT_PCF,CORRECT,3.4319,35,2.3458,0.0351,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislatif parti communiste majorite gauche retraite conseil general rejeter politique insupportable finir chomage injustice soif liberte exprimer communiste part battre chang emportee fetee reussir changement ne_venir ne_decevoir communiste opposition mener combat justice dignite majorite efficace confiance confirmer porter majorite gauche communiste mise gouvernement gauche ministre communiste indispensable reussir droite battre battre obtenir large majorite assurer reelire gauche compter depe...
